Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2024,22,nr,17,13,nr,23,nr,nr,nr,23,nr,nr,nr,24,21,nr,24,nr,nr,17,nr,nr,nr,24,nr,nr,24,21,nr,22,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
01-05-2024,23,nr,16,12,nr,22,nr,nr,nr,23,nr,nr,nr,22,20,nr,23,nr,nr,16,nr,nr,nr,24,nr,nr,23,20,nr,21,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
01-05-2024,24,nr,15,12,nr,22,nr,nr,nr,22,nr,nr,nr,21,19,nr,23,nr,nr,13,nr,nr,nr,23,nr,nr,22,nr,nr,20,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,
02-05-2024,1,nr,14,10,nr,21,nr,nr,nr,21,nr,nr,nr,20,19,nr,22,nr,nr,13,nr,nr,nr,23,nr,nr,21,18,nr,19,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
02-05-2024,2,nr,13,10,nr,20,nr,nr,nr,21,nr,nr,nr,19,19,nr,21,nr,nr,13,nr,nr,nr,22,nr,nr,21,18,nr,18,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
02-05-2024,3,nr,13,10,nr,19,nr,nr,nr,20,nr,nr,nr,18,17,nr,21,nr,nr,12,nr,nr,nr,21,nr,nr,20,17,nr,18,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,19,nr,nr,
02-05-2024,4,nr,12,11,nr,19,nr,nr,nr,20,nr,nr,nr,17,15,nr,20,nr,nr,11,nr,nr,nr,21,nr,nr,20,17,nr,17,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
02-05-2024,5,nr,12,10,nr,19,nr,nr,nr,19,nr,nr,nr,16,14,nr,20,nr,nr,11,nr,nr,nr,20,nr,nr,20,17,nr,17,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
02-05-2024,6,nr,11,10,nr,18,nr,nr,nr,18,nr,nr,nr,16,14,nr,19,nr,nr,11,nr,nr,nr,21,nr,nr,19,16,nr,17,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
02-05-2024,7,nr,12,8,nr,19,nr,nr,nr,18,nr,nr,nr,16,13,nr,19,nr,nr,11,nr,nr,nr,20,nr,nr,19,16,nr,17,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
02-05-2024,8,nr,14,11,nr,20,nr,nr,nr,20,nr,nr,nr,16,15,nr,20,nr,nr,13,nr,nr,nr,22,nr,nr,20,18,nr,19,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
02-05-2024,9,nr,17,17,nr,21,nr,nr,nr,23,nr,nr,nr,19,20,nr,22,nr,nr,16,nr,nr,nr,nr,nr,nr,22,20,nr,21,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,20,nr,nr,
02-05-2024,10,nr,19,19,nr,23,nr,nr,nr,26,nr,nr,nr,22,24,nr,24,nr,nr,19,nr,nr,nr,24,nr,nr,23,21,nr,24,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,22,nr,nr,
02-05-2024,11,nr,21,20,nr,25,nr,nr,nr,28,nr,nr,nr,24,nr,nr,26,nr,nr,20,nr,nr,nr,26,nr,nr,26,23,nr,27,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,24,nr,nr,
02-05-2024,12,nr,23,21,nr,27,nr,nr,nr,30,nr,nr,nr,26,nr,nr,27,nr,nr,21,nr,nr,nr,28,nr,nr,27,25,nr,29,28,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,26,nr,nr,
02-05-2024,13,nr,24,21,nr,28,nr,nr,nr,31,nr,nr,nr,28,30,nr,29,nr,nr,23,nr,nr,nr,29,nr,nr,28,27,nr,29,29,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,
